Date,ZTG
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,0
2022-03-29,0
2022-03-30,0
2022-03-31,0
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,0
2022-05-10,0
2022-05-11,50
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,40477611.76
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,0
2022-06-27,235
2022-06-28,3824305.714
2022-06-29,681031.4286
2022-06-30,4291815.191
2022-07-01,8528108.581
2022-07-02,1880131.808
2022-07-03,677956.6644
2022-07-04,2288301.619
2022-07-05,70934.91681
2022-07-06,253370.623
2022-07-07,115116.8203
2022-07-08,53869.10206
2022-07-09,74361.53758
2022-07-10,59405.79384
2022-07-11,68138.12299
2022-07-12,130836.195
2022-07-13,243761.4802
2022-07-14,1287790.484
2022-07-15,369293.3614
2022-07-16,30594.74169
2022-07-17,1033184.97
2022-07-18,25881.59594
2022-07-19,34417.33445
2022-07-20,69523.41224
2022-07-21,43843.9349
2022-07-22,263936.4582
2022-07-23,4072.18295
2022-07-24,120708.3079
2022-07-25,2630959.692
2022-07-26,165744.6574
2022-07-27,349164.2309
2022-07-28,258243.6128
2022-07-29,136506.9703
2022-07-30,117471.5962
2022-07-31,2149146.208
2022-08-01,1482589.269
2022-08-02,597991.5242
2022-08-03,230471.3454
2022-08-04,359691.3185
2022-08-05,55699.28761
2022-08-06,15489.9968
2022-08-07,115662.1619
2022-08-08,83742.2534
2022-08-09,104240.0034
2022-08-10,32468.16686
2022-08-11,42233.52397
2022-08-12,70782.71791
2022-08-13,54290.96315
2022-08-14,140663.1202
2022-08-15,124396.4498
2022-08-16,209186.7347
2022-08-17,44589.80246
2022-08-18,20453.5868
2022-08-19,36823.0072
2022-08-20,11399.24847
2022-08-21,57330.62105
2022-08-22,14934.47628
2022-08-23,43319.12919
2022-08-24,10396.6369
2022-08-25,9515.83565
2022-08-26,27184.0323
2022-08-27,93687.3316
2022-08-28,101529.7443
2022-08-29,42549.73415
2022-08-30,80193.71272
2022-08-31,85449.99764
2022-09-01,216555.2456
2022-09-02,73544.82727
2022-09-03,29050.64483
2022-09-04,36407.4491
2022-09-05,118803.8156
2022-09-06,464518.987
2022-09-07,30362.805
2022-09-08,794055.6309
2022-09-09,213928.8585
2022-09-10,32011.5061
2022-09-11,34463.67246
2022-09-12,22075.7713
2022-09-13,74001.60327
2022-09-14,206251.8022
2022-09-15,240877.7995
2022-09-16,248148.4722
2022-09-17,529067.3556
2022-09-18,246257.1971
2022-09-19,105663.0857
2022-09-20,1092848.556
2022-09-21,152293.9101
2022-09-22,74685.573
2022-09-23,14370.41715
2022-09-24,172325.4733
2022-09-25,55326.27107
2022-09-26,42955.7778
2022-09-27,209779.5707
2022-09-28,245879.8754
2022-09-29,59871.88368
2022-09-30,23819.48918
2022-10-01,40025.39424
2022-10-02,47421.71296
2022-10-03,62346.48202
2022-10-04,9696.584865
2022-10-05,194499.1057
2022-10-06,115750.2873
2022-10-07,135828.1745
2022-10-08,12820.96891
2022-10-09,14153.28898
2022-10-10,13974.13518
2022-10-11,15556.7991
2022-10-12,83260.29426
2022-10-13,37637.67774
2022-10-14,25629.6994
2022-10-15,9461.414831
2022-10-16,7329.978836
2022-10-17,110358.6357
2022-10-18,906118.9901
2022-10-19,71823.58053
2022-10-20,233624.7864
2022-10-21,122856.1317
2022-10-22,28345.80774
2022-10-23,2481789.476
2022-10-24,272692.2359
2022-10-25,194819.627
2022-10-26,261073.8928
2022-10-27,70406.46841
2022-10-28,65283.9398
2022-10-29,66541.41135
2022-10-30,102485.745
2022-10-31,168384.7673
2022-11-01,27136.3624
2022-11-02,124972.5053
2022-11-03,2614491.796
2022-11-04,137854.2632
2022-11-05,89893.6524
2022-11-06,2660.342596
2022-11-07,79827.75204
2022-11-08,121460.5266
2022-11-09,86609.33796
2022-11-10,39982.15431
2022-11-11,431231.788
2022-11-12,44221.93915
2022-11-13,492225.8951
2022-11-14,37474.83035
2022-11-15,21311.72072
2022-11-16,164769.0639
2022-11-17,53161.59014
2022-11-18,333097.4143
2022-11-19,223220.6504
2022-11-20,15940.82819
2022-11-21,181423.2991
2022-11-22,88480.86388